old                                      new
64ce8c30140b6dd20b683dac582496895f0e20fe a7356fc2910742ff14d7db26bfc074811edaf7f5
69c3ecd5f11f03918601df7cfec35d6c14392874 8f27e05ee12a611b88b5d960f44cfbefafa92dcd
73268edfeaf4bb12d22dedd56d0ae988d6713a2f c521aff8e858d78a53a7a8a440fdede86400e898
755110a37597aed7a77026996f75b79015c5f8e2 9efcdcffc806e87e54b659333a409fdc041c80f9
762a02fc0d49628c6d7cdd29c35a0b42cc80528d c197fce16f935534a60810949d21455a3e76eade
76e77891c031abd3be0f9e502d0e7528e8b996c0 56ed49614702b818aee06833d055c384cb40c3b6
7838437642b5aa10dabbf47a6a2ccb0b0e02737b ad6fc03da577e6893932708675c1857918e06477
7a5d2977a703c62c5726a8927f457fdb173f740a 15a32d8dc1d668d2f8e0541cad10f6302e2456b3
7ac4f70afdccc5d156eb83c3579fbd51374540c7 6daa0d5b6125c488dd7a837a9c1703471483b88c
7ae3e50306583a9cf6f6ca8d2d08eac55023e9ed 9f12936c93031bcacd1737aea544a812785e7507
7b178cc6c0464431177254f6343454d080c2aa77 12eaf2a11222c5ad31ca6d09f5e149e6308acb30
7c16781c8ad77a445445471babc193bea2984060 1dc7effd59ac1322fb102f890185f83721067bf8
7cc07ee9b57504d72df1238045b5b615fdcb0723 99d534d2e0f4e8f5c2cee5720a8ed6c74daff3e9
7e6e2ee713b99fa12ccbd15df852891229381429 0c217347de5423fd6b4b64dafdfeb85103cee9ea
80133a7db51c1093922ea4c658d0f90776b4a9a7 cb06b87c52d01b1a594d9adf35d175b19eda26c5
811d2c49dc8235cad42d18ea01308b4da6b4216d 77f32a7be60869dd97f8e8813b28e28592afe2a9
8385b2e978b18e22de85b860db4931c4e7e904dc 68e4639b2a277816a0aef1ae7da5ce763d1b9f5e
83c0f496d45cb3dae2f66b5d248b67d29b35680e e8ceb071cab745ab22b179e66c87b1bb40156d91
858e648e99ee3098314826346d533d4fd58b4aa4 a247689cb9a547f0fc062e93adde10fa05a0706e
873c5c959d8cc2bbae5381e6c6b319d0c155c7d6 0a0ecf5d66a840dc85104f8b5046becfe390a283
885d85dbfd954c7d5663a5c98025b5b1da2d89a5 e1a428771f815618f00b2c1e348e57667d98075c
89375df0952bfa3d10cd5795dbb673d354038b7c 7ce0d88ca672dfe69fedbe0bcf9050e75cf7a2f4
91a6ce3342d6fc3f50805402d980183b193c0729 e973133bb99b6ef7649e567e7206a17a9c241ee6
9342bb3d3d1b5117ca48713dfa895bd393faa51e f9553be6f3cf72278124b15ef44e174d1888fdd4
9376655b9882ce245df07bdd45deb3d36941dced 85520efa3532e969a00b3af9cbbd28160046d57f
95820cae18db5d40046039751b4ff3f2ff738be4 b6f51dffc5beedebf73b52ddf648b5555a477416
9621b7b9e140aa3b74128147e5052f4206ea8f2d dbf58753af7c42c71d2564d43923cb15317a4f25
98e33e7fbbd9345f824b4ae98be39eab55fecb10 a84b576991bc91e04f302711c2949afb28fd3514
99c9ec184d6f76de3bdc5c365d0609ec041f54c7 fb79c450a0ccc19e44d66d0eb36840584028744a
9afd436491356a305f6dbc130cccdc18fbdcad94 c8fa0f26d46b59deb9c93f0e46118f7c601288a1
9c0ce676f724c4547f68b4a24b50070fddc44aba d710da7eed64f8a87abf8d0910e31af303e3e18b
9c4182a005e7c552f10390d645aa58f85bb0513e a8ed9f601f50eae1c6d800da5dbbba4db0abf3ee
9c7e337238065cc366762d4b22e52702e2b6f03d 015b393a04ab9b6700f7d03f28354ef07bb6253c
9ccf7765d54fb1fb4cebdae8950f79c1bfa00d49 885c8d314b6d1b7ba955fec5f5bebca6bdf39311
a00075a944cf467a4c2fce1337d2934d9c832ffd 1172df84921d8d5dddb72e92c07f619c5d9a9421
a1e0b6c181eded352301cb6710b5b5ea7b0141e8 ee5af7567008aead36110bf11d47c0a4988a479a
a5014f58a960763f4e0cc6bd9b1ad0e347f8a1f6 ce7ed9e65f24e41d124e6eb36c64926e23f64490
a50b2a1cd983c3c928f49b06987f4e88de0ab053 b931ea01bd5eeaaee51a88a55042515015922549
a577cfe1b88fb9ce3f6e62c0222350d7e418ab46 e9fc0ad303cc1aebf2e3bcad03b657a1d3c88c95
a592307b9cbb11067ac5397d677905129c9e7682 5d22f7503803837bfb291613b927dde0d3a07d7c
a5dc009caff5b73e3a6b125f28719363da872b3c fc118934ffb989db78ad9e451567899fc2a51f0a
a90bac2f2dc613fa08e24864bb0fa545c95028ca ce6947970ba71fe9cc0b4959e1762a66d2342f73
aaaf5280ac294f7d6a78231621761c6b3f856130 c67e463c9df10fde53fa56e072f6dd1c2fb7ffa9
abbfc369102c3dcb272ede654cc888102a1d2ae2 fadb93d4668d7525455e6e58701def34d5517f51
ac269f92c4e7c34ae508adce2f0a7721e1c6429a c1aa3cb712a1cc5dcec7e3002684ea2816149538
af1d6e3d9261c02490acbd44ff85a0a73a949bdc f0c8d6c6705294d45bc3b175f5932fead0fcf787
b151b2e6014738f6a6c3a5fc974e8e063f708521 179dd0b7895db5210ad1f990fc8a7722af031cfb
b183cbe726163fc07d2f291fb1b4a33623c1050f fb7c80cf12b0fb40f73112f01bcb8981a456f895
b2150ae20964560aa45bced26450fcf4da7a89c6 a83db7f0ba74bb94dc4d8ed5d1520ad820b16453
b227bf7368a363d514a4fe78cab4dda33b0a12cd 1f933c153bb165e24e937bf62137d43382bed43a
b2fbaa1030635340464e5577044238330f9b191b f5b9291fa518687de68d77dcec921128910fec98
b3818d18745afb74c76f6b73409b9ee584ad9176 e418476455478ccae8523c151cb97fef3d49c047
b4c96f371f822620ae5de6d9c1df295a4f61ab4b cfa94ddcc345a69c757831cf92f0fa8f347357cb
b53ee129db91c835581c9fffa482be08da18c3f0 985b069fd6236cb0576cedb77cbe02a7d04e9ab2
b64bce3a24bc2010d74f38233f995130d2f81a67 5d0c4cb82d86907b90b6550c8af7d6774cc738e4
b6d33e87c4ae30a3b6b45d3c76513804ffbb684b aa88506740d796e4fd6db7df019de3742973080d
b6da9f06897428540f2270e5057f55341d78bca6 a916a76216d4add28f491d4bc8154942d0308dc6
b988b7d7bcd58b0b2f46b12add7e2998bdaf8c36 33573a632a62c1920cd06fe089647caa6b0a67c5
baeed987b6fd445b00d0c665629d623ff2cdc2a2 82a685ebcb5142ae9ba4643d407d51e3c94a5423
bc39a2688f9765821606328ceb0ce1e1d2b6e20d c15cf4a90c01d7dddfa677af7646b7d31b513108
be6e2083fbe4da9349444a72b183a352738e1194 338498e6459aaec401fffea69cf113f997dd67c4
be80a922b94fdbb1f9f460b8b777aa7cba77aa34 e742e591bf86f0ac9654a04db4a258f1ab702469
c172d5db146b6e77a5915fc062920cf91abb345b 79afa0ea1a6b996b5d790f02f3c0802112b0655f
c2cf1e760038254c1645b995777fac179cdacd25 a04fc7e1b16dc0bac1a44655c4423ea63bbdd288
c63dbbb393957e517edf89f96ad81fb4ac969046 cd8d861ef2206eaf1980e0b2f97b64e2d67e61e1
c79bf47972015cdacc7dfa644576ea4ca3e81f32 fded2f846519c4467df63d50e89f836277b6c9f9
c8a138d981beadaac45ba426e6a773ed72042d5c 16e96a3d00eb326c54afb56a43004acbbd0da3d0
c8bf95d9a36a79ec6306b7845771073fbc4389d7 ea8b4f437fff57b57a1d6ef522877bb007f8abf3
c8e8bf1b9562b5b3d66c46d9daed42bacf6da037 bfe3fae6269511aa1891485322ea5d7634582a78
cb2abf63d2b11a9feb1a346a423faa063f2afcfb de56a883dbcad9e17d0a7abf582f10da3c80193d
cbf4062e77bb1198e52b4c434c78d082ef49d40e 25aaf959596bb2d8f7328d7214e06079363abce4
cc0f656b192f29a47d48ebdae95a91c615aa968c 2e3bd85bec394eb2e866c0284c9e10a8296eb09f
d03a660a4caefe38707414d47196e3fea7a7144b fc3701b1a031cdc83275d2bfadfc171b98db95fb
d061d05110639556b327628085e9914110375a0c 50db89f6e7c8afdd05a9b9114bbe97d8970d42c3
d0aa29ca86fcd5969bd305d66da301b96436530b 5fc5bb6a0a267540334978bb57001adc91f23fad
d4471fdf4eb6a589257f6f2aab61b361c1e2ec90 3a4d067cc18d9a13e1cd3f6a3a0b1c5bf39e09ae
d449d055ace75431e42b38f5be53e686a94d66e0 1c4689e3f4f948d458728fe8f763f1f509e1584e
d50d40ca2e0c6d73c52f2060d3c9854535b91e75 d2ec0b8b4b8c55e926591d56d851f063f1cf9bb8
d7fa11371b135a5497f48c5192f9d34612ede126 b148e439065d146ee5fb86a799600e63a478f4e5
d886e26d7af60ec539d8669362bfc2cc7f4d5dbb 358c2ecdcab645967d07f3ee9ec69771a3b87f8e
d88cf52cca3d551b9ac968bb925bd7c0f16c6ce7 ca41ac7333659b4617cb43ef2698879c2667fb71
d8a83d923e858280fc866437a5b765df96b66d35 361d6233116832affdce9eb23f35bfb7467c3dd7
d97e74790357c10aa39e7881636908b836e62360 35b4e30c9b8c5855dd545f7cd272f9e539863cb8
db402a129a5f2c63bbde2adb133146ba6426de61 9276fc358338ccf0f991c0870871c4ef57233695
db6d024ae43ec50d26df5f472d29e17d9099764d 64ddc699e02cb5bb7c08fc98b49606acde32d1ea
dc71ba24dca71d9dda10d8cb4e6aa4afc9c164a3 408ab4d337ef0575391ef22e7933e547c44fee2b
ddce70a7a926e3fd578b3bf0c98101e9a748503b aed31f11b6a5f4267be9255f1f3f7fdb28fb4d7a
de4e248ccb2b2a3d30eb5663ba131b5eb59faf31 9ebd734ca559a0c1dafc707cf2ecb85a155a98fd
df3ecb1e10e7e0feda4ebae5194225be162a3885 f11192a53a0dfc58ad624aba548b1e8352e0119a
df957b2799b47f3cb0ee6e63233ab36eacb1499a 3588dbaf308efc7f84a2bbda127dd5b9e25642f9
e1dc6b12ac3f3e1a8d84969023b782078e9c76c3 9973e0dd2fe64e6f914b2307bf4d62302de8f37c
e27724ced5156a26f144757ec94b28b5a94100ce 5293963ae45fc7fb6c47d5e175718abfad8ebc12
e308f7a5f5ed6a20ce0a6cb3d1142db6734eece5 ba8b02f7c1a9238aea3f44deb1910eb6b130784b
e3595badd885676fb0d7597d43b1aceeda9584dd 4573ed821c109cd499d2f833947f6fc83a64538f
e3fa5169155ba66734bc207ecd44cace54679456 dd0b4d39e27a6cc4bdc273e85ed05a5c6a2ba160
e505aa570bb8653dc2162cd235eaff5826de12dc 485b82a44361f06dacf6c43646752c8dcf413d1a
e6ead3f414c3ba1ea52a137f604c2a53fbb98c34 729685725f4ba5f68fcc0827c8090ffd838007a0
e772004cff301deb77dd5ed73a27ae1075043835 41db536bb15226b3caf34e142dc94eabc00c07a6
e7fccd54be1ed92abd1f632843f7ce7138dfd3aa 7b3edd95aeaa76aed3b52fabe0d051db8418e857
e86a610259bc451507e796e091d54ed180e2ea80 ac310d56a174871c228ae15925521ed4528ffbcf
e9be3f2e12aa9d7ca1be16d270058b05c3c5e5e9 6f55c3388b0cc2cc7a91e9df54ac500d9278a4e6
ea1856e9ab476d2f8dc6f3fe254ef270f6b721f1 693ee68b72104d8f4a67a77ca5532398895d19a9
ea29be75ca09247b8102b84c79d6f8d92b0510ba 29786ae799d2dc734d99ce552a340a2457175785
ea2fc3ca27424fe8b6d40cea29d07006e57be9a2 a1b776655aa531db102f6647022d7f2cad99e1ce
ea8e665b0f399f5def370fb080d8e2b175849926 5e037cc34b077033f8ccfa0e798fd3d20ad56536
ece1f4633751da304f2f03e4621571ed05c9dd66 5fb8140d8f76648f83c2c9718d2a5fd59b7dd7eb
eebf24f0d73717cec86bbc4f6abde2777ceaff7c c04d2f001c9aa9bb01d5615f0c7d3a71b207105b
f19a20c0cc310052413cbe321135363597341b0c 943b4d92492822ea5381de63bf78d43e33c0b3e2
f2f3158528e464fc93c9b2c9b06b6848107caf10 5b4df0158057c089650c6c68373bc5ad13ddfa97
f539abd94953e73883882ae8791d23bd4936f514 d133ea8e367973051551455f410d45886e5dc1df
f8957418e8b9f2b4d296f1cbeafa29892b21dfc6 dbd20e32c933767760289e4ee87d6f2f6c67a957
fad3b3a5c6756ecbb6aa826d7ec592fb6be72a95 6618d6baffd64ebe1ca1f5b67783742ef055ac65
fb42bc1f83c24fe494569a984b31905497d78411 2303f1648e8cc2cc1c9d9a8604c7a62e62484158
fcfe8d4c109c078ba213cf3ed9b5ca11e9ccd97a fa1dac4663004f5a0c681357d707be4877edeb5d
ffed1ddba85d918505d89bdbe265963c0d3d2d20 a3ba9ba9d4796fa0caa359da1ac162612e4e1a80
fff2c24a97791f9f035aee61bb5a44e2e69fd2da ce48444c4725922dee6d0835d637508a74eb723a
